img,class,conf,class-name,read,run,write
755,0,0.94,person,0.006,0.030,0.011
756,0,0.92,person,0.006,0.030,0.010
757,0,0.91,person,0.005,0.030,0.010
758,0,0.92,person,0.006,0.030,0.011
759,0;13,0.90;0.58,person;bench,0.006,0.030,0.011
76,0,0.91,person,0.005,0.031,0.010
760,0;58,0.94;0.50,person;potted plant,0.006,0.030,0.012
761,0,0.90,person,0.005,0.030,0.010
762,0,0.92,person,0.006,0.030,0.011
763,0,0.93,person,0.006,0.029,0.011
764,0,0.92,person,0.006,0.031,0.011
765,0,0.92,person,0.006,0.031,0.011
766,0,0.95,person,0.006,0.030,0.012
767,0,0.95,person,0.006,0.030,0.011
768,0,0.93,person,0.006,0.030,0.011
769,0,0.93,person,0.006,0.029,0.011
77,0,0.93,person,0.006,0.031,0.011
770,0;7,0.93;0.83,person;truck,0.006,0.030,0.011
771,0,0.94,person,0.006,0.030,0.011
772,0;13,0.92;0.51,person;bench,0.006,0.030,0.011
773,0,0.90,person,0.006,0.029,0.011
774,0,0.91,person,0.006,0.030,0.010
775,0,0.94,person,0.006,0.030,0.011
776,0,0.93,person,0.006,0.030,0.011
777,0,0.94,person,0.006,0.030,0.011
778,0,0.85,person,0.006,0.030,0.011
779,0,0.90,person,0.006,0.030,0.011
78,0;13;0,0.94;0.71;0.51,person;bench;person,0.006,0.031,0.012
780,0,0.93,person,0.006,0.031,0.011
781,0,0.89,person,0.006,0.030,0.010
782,0,0.94,person,0.006,0.030,0.011
783,0,0.93,person,0.006,0.030,0.011
784,0,0.91,person,0.006,0.030,0.011
785,0;7,0.92;0.81,person;truck,0.006,0.031,0.011
786,0,0.94,person,0.006,0.030,0.011
787,0,0.93,person,0.006,0.030,0.011
788,0,0.90,person,0.005,0.030,0.010
789,0;58,0.91;0.71,person;potted plant,0.006,0.029,0.012
79,0,0.93,person,0.006,0.031,0.011
790,0,0.94,person,0.006,0.031,0.011
791,0,0.94,person,0.006,0.030,0.012
792,0,0.92,person,0.006,0.030,0.012
793,0,0.93,person,0.006,0.030,0.011
794,0,0.93,person,0.006,0.029,0.011
795,0,0.93,person,0.006,0.030,0.011
796,0,0.94,person,0.006,0.030,0.011
797,0,0.94,person,0.006,0.030,0.011
798,0,0.90,person,0.006,0.030,0.011
799,,,,0.005,0.029,0.009
8,0,0.94,person,0.006,0.030,0.011
80,0,0.91,person,0.006,0.030,0.010
800,0,0.90,person,0.007,0.030,0.012
801,0;2,0.92;0.84,person;car,0.006,0.029,0.011
802,0;2,0.93;0.93,person;car,0.006,0.030,0.011
803,0,0.94,person,0.006,0.030,0.011
804,0,0.94,person,0.006,0.030,0.011
805,0,0.84,person,0.006,0.030,0.010
806,0,0.92,person,0.006,0.029,0.011
807,0,0.94,person,0.006,0.030,0.011
808,0,0.91,person,0.006,0.031,0.011
809,0,0.93,person,0.006,0.030,0.010
81,0,0.94,person,0.006,0.030,0.011
